cases,deaths,geoid,continentexp,countryterritorycode,population,country,date,date.int,log.cases,log.deaths,tot.cases,tot.deaths,cum.cases,cum.deaths,n.nonzero.rows,prop.zero.cases,prop.zero.deaths,delta.next.non0,max.gap,is.train,ctry.min.date.int,ctry.min.date,date.int.delta,ctry.first.log.cases,adj.log.cases
1,0,AD,Europe,AND,77006,andorra,2020-03-03,18324,0,-Inf,713,36,1,0,36,0.0526315789473684,0.447368421052632,11,11,FALSE,,,,,
1,0,AD,Europe,AND,77006,andorra,2020-03-14,18335,0,-Inf,713,36,2,0,36,0.0526315789473684,0.447368421052632,2,2,FALSE,,,,,
3,0,AD,Europe,AND,77006,andorra,2020-03-16,18337,1.09861228866811,-Inf,713,36,5,0,36,0.0526315789473684,0.447368421052632,1,2,FALSE,,,,,
9,0,AD,Europe,AND,77006,andorra,2020-03-17,18338,2.19722457733622,-Inf,713,36,14,0,36,0.0526315789473684,0.447368421052632,2,2,FALSE,,,,,
0,0,AD,Europe,AND,77006,andorra,2020-03-18,18339,-Inf,-Inf,713,36,14,0,36,0.0526315789473684,0.447368421052632,,,FALSE,,,,,
39,0,AD,Europe,AND,77006,andorra,2020-03-19,18340,3.66356164612965,-Inf,713,36,53,0,36,0.0526315789473684,0.447368421052632,1,2,FALSE,,,,,
22,0,AD,Europe,AND,77006,andorra,2020-03-20,18341,3.09104245335832,-Inf,713,36,75,0,36,0.0526315789473684,0.447368421052632,2,2,FALSE,,,,,
0,0,AD,Europe,AND,77006,andorra,2020-03-21,18342,-Inf,-Inf,713,36,75,0,36,0.0526315789473684,0.447368421052632,,,FALSE,,,,,
13,0,AD,Europe,AND,77006,andorra,2020-03-22,18343,2.56494935746154,-Inf,713,36,88,0,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
25,0,AD,Europe,AND,77006,andorra,2020-03-23,18344,3.2188758248682,-Inf,713,36,113,0,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
20,0,AD,Europe,AND,77006,andorra,2020-03-24,18345,2.99573227355399,-Inf,713,36,133,0,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
31,0,AD,Europe,AND,77006,andorra,2020-03-25,18346,3.43398720448515,-Inf,713,36,164,0,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
24,0,AD,Europe,AND,77006,andorra,2020-03-26,18347,3.17805383034795,-Inf,713,36,188,0,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
36,3,AD,Europe,AND,77006,andorra,2020-03-27,18348,3.58351893845611,1.09861228866811,713,36,224,3,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
43,0,AD,Europe,AND,77006,andorra,2020-03-28,18349,3.76120011569356,-Inf,713,36,267,3,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
41,1,AD,Europe,AND,77006,andorra,2020-03-29,18350,3.71357206670431,0,713,36,308,4,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
26,2,AD,Europe,AND,77006,andorra,2020-03-30,18351,3.25809653802148,0.693147180559945,713,36,334,6,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
36,2,AD,Europe,AND,77006,andorra,2020-03-31,18352,3.58351893845611,0.693147180559945,713,36,370,8,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
6,4,AD,Europe,AND,77006,andorra,2020-04-01,18353,1.79175946922806,1.38629436111989,713,36,376,12,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
14,2,AD,Europe,AND,77006,andorra,2020-04-02,18354,2.63905732961526,0.693147180559945,713,36,390,14,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
38,1,AD,Europe,AND,77006,andorra,2020-04-03,18355,3.63758615972639,0,713,36,428,15,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
11,1,AD,Europe,AND,77006,andorra,2020-04-04,18356,2.39789527279837,0,713,36,439,16,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
27,1,AD,Europe,AND,77006,andorra,2020-04-05,18357,3.29583686600433,0,713,36,466,17,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
35,1,AD,Europe,AND,77006,andorra,2020-04-06,18358,3.55534806148941,0,713,36,501,18,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
25,3,AD,Europe,AND,77006,andorra,2020-04-07,18359,3.2188758248682,1.09861228866811,713,36,526,21,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
19,1,AD,Europe,AND,77006,andorra,2020-04-08,18360,2.94443897916644,0,713,36,545,22,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
19,1,AD,Europe,AND,77006,andorra,2020-04-09,18361,2.94443897916644,0,713,36,564,23,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
19,2,AD,Europe,AND,77006,andorra,2020-04-10,18362,2.94443897916644,0.693147180559945,713,36,583,25,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
18,1,AD,Europe,AND,77006,andorra,2020-04-11,18363,2.89037175789616,0,713,36,601,26,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
21,2,AD,Europe,AND,77006,andorra,2020-04-12,18364,3.04452243772342,0.693147180559945,713,36,622,28,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
16,1,AD,Europe,AND,77006,andorra,2020-04-13,18365,2.77258872223978,0,713,36,638,29,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
8,0,AD,Europe,AND,77006,andorra,2020-04-14,18366,2.07944154167984,-Inf,713,36,646,29,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
13,2,AD,Europe,AND,77006,andorra,2020-04-15,18367,2.56494935746154,0.693147180559945,713,36,659,31,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
14,2,AD,Europe,AND,77006,andorra,2020-04-16,18368,2.63905732961526,0.693147180559945,713,36,673,33,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
9,0,AD,Europe,AND,77006,andorra,2020-04-17,18369,2.19722457733622,-Inf,713,36,682,33,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
14,2,AD,Europe,AND,77006,andorra,2020-04-18,18370,2.63905732961526,0.693147180559945,713,36,696,35,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
8,0,AD,Europe,AND,77006,andorra,2020-04-19,18371,2.07944154167984,-Inf,713,36,704,35,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
9,1,AD,Europe,AND,77006,andorra,2020-04-20,18372,2.19722457733622,0,713,36,713,36,36,0.0526315789473684,0.447368421052632,1,1,FALSE,,,,,
0,0,AE,Asia,ARE,9630959,united_arab_emirates,2019-12-31,18261,-Inf,-Inf,6781,41,0,0,44,0.584905660377359,0.839622641509434,,,FALSE,,,,,
